State,Postal,Shipment State Rate (SSSR),Shipment Delivery Message,State Code
,,,,
ALABAMA,AL,$20.0,3-5 Days,AL
ALASKA,AK,$20.0,3-5 Days,AK
AMERICAN SAMOA,AZ,$20.0,3-5 Days,AS
ARIZONA,AR,$20.0,3-5 Days,AZ
ARKANSAS,CA,$20.0,3-5 Days,AR
CALIFORNIA,CO,$20.0,3-5 Days,CA
COLORADO,CT,$20.0,3-5 Days,CO
CONNECTICUT,DE,$20.0,3-5 Days,CT
DELAWARE,DC,$20.0,3-5 Days,DE
DISTRICT OF COLUMBIA,FL,$20.0,3-5 Days,DC
FLORIDA,GA,$20.0,3-5 Days,FL
GEORGIA,HI,$20.0,3-5 Days,GA
GUAM,ID,$20.0,3-5 Days,GU
HAWAII,IL,$20.0,3-5 Days,HI
IDAHO,IN,$20.0,3-5 Days,ID
ILLINOIS,IA,$20.0,3-5 Days,IL
INDIANA,KS,$20.0,3-5 Days,IN
IOWA,KY,$20.0,3-5 Days,IA
KANSAS,LA,$20.0,3-5 Days,KS
KENTUCKY,ME,$20.0,3-5 Days,KY
LOUISIANA,MD,$20.0,3-5 Days,LA
MAINE,MA,$20.0,3-5 Days,ME
MARYLAND,MI,$20.0,3-5 Days,MD
MASSACHUSETTS,MN,$20.0,3-5 Days,MA
MICHIGAN,MS,$20.0,3-5 Days,MI
MINNESOTA,MO,$20.0,3-5 Days,MN
MISSISSIPPI,MT,$20.0,3-5 Days,MS
MISSOURI,NE,$20.0,3-5 Days,MO
MONTANA,NV,$20.0,3-5 Days,MT
NEBRASKA,NH,$20.0,3-5 Days,NE
NEVADA,NJ,$20.0,3-5 Days,NV
NEW HAMPSHIRE,NM,$20.0,3-5 Days,NH
NEW JERSEY,NY,$20.0,3-5 Days,NJ
NEW MEXICO,NC,$20.0,3-5 Days,NM
NEW YORK,ND,$20.0,3-5 Days,NY
NORTH CAROLINA,OH,$20.0,3-5 Days,NC
NORTH DAKOTA,OK,$20.0,3-5 Days,ND
NORTHERN MARIANA IS,OR,$20.0,3-5 Days,MP
OHIO,PA,$20.0,3-5 Days,OH
OKLAHOMA,PR,$20.0,3-5 Days,OK
OREGON,RI,$20.0,3-5 Days,OR
PENNSYLVANIA,SC,$20.0,3-5 Days,PA
PUERTO RICO,SD,$20.0,3-5 Days,PR
RHODEÂ ISLAND,TN,$20.0,3-5 Days,RI
SOUTH CAROLINA,TX,$20.0,3-5 Days,SC
SOUTH DAKOTA,UT,$20.0,3-5 Days,SD
TENNESSEE,VT,$20.0,3-5 Days,TN
TEXAS,VA,$20.0,3-5 Days,TX
UTAH,VI,$20.0,3-5 Days,UT
VERMONT,WA,$20.0,3-5 Days,VT
VIRGINIA,WV,$20.0,3-5 Days,VA
VIRGIN ISLANDS,WI,$20.0,3-5 Days,VI
WASHINGTON,WY,$20.0,3-5 Days,WA
WEST VIRGINIA,WY,$20.1,4-5 Days,WV
WISCONSIN,WY,$20.2,5-5 Days,WI
WYOMING,WY,$20.3,6-5 Days,WY
